sale_date,product_name,product_category,product_description,sale_channel,production_cost,sale_price
3/5/2024,Brazilian Beauty,Arabica,Rich and bold with hints of chocolate,whatsapp,69.39,62.81
9/9/2024,Guatemalan Gold,Robusta,Rich and bold with hints of chocolate,whatsapp,56.26,99.56
1/10/2024,Sumatra Sunrise,Catimor,Light and crisp with a citrus twist,instagram,86.17,152.17
21/6/2024,Dark Roast Delight,Robusta,Smooth and nutty with a caramel finish,whatsapp,29.02,55.42
15/12/2024,Brazilian Beauty,Catimor,Dark roast with a smoky undertone,web-site,149.02,149.11
15/12/2024,Espresso Elegance,Excelsa,Dark roast with a smoky undertone,in-store,140.97,158.17
29/3/2024,Jamaican Java Joy,Catimor,Smooth and nutty with a caramel finish,whatsapp,21.22,137.39
18/11/2024,French Vanilla Fantasy,Liberica,Bright and fruity with floral notes,web-site,141.89,85.41
2/4/2024,Mocha Madness,Arabica,Rich and bold with hints of chocolate,whatsapp,146.74,158.95
18/1/2024,Mocha Madness,Catimor,Smooth and nutty with a caramel finish,in-store,82.17,38.26
22/4/2024,Espresso Elegance,Excelsa,Dark roast with a smoky undertone,instagram,74.14,102.14
15/11/2024,French Vanilla Fantasy,Robusta,Bright and fruity with floral notes,web-site,43.67,123.58
31/5/2024,Ethiopian Excellence,Liberica,Bright and fruity with floral notes,whatsapp,78.31,36.59
6/10/2024,Hazelnut Heaven,Arabica,Dark roast with a smoky undertone,whatsapp,49.27,169.88
13/1/2024,Jamaican Java Joy,Catimor,Bright and fruity with floral notes,instagram,102.95,102.27
3/6/2024,Caramel Creme Dream,Liberica,Dark roast with a smoky undertone,whatsapp,122.78,35.67
26/5/2024,Hazelnut Heaven,Robusta,Rich and bold with hints of chocolate,whatsapp,52.42,185.93
9/3/2024,Sumatra Sunrise,Catimor,Light and crisp with a citrus twist,whatsapp,146.24,182.72
16/3/2024,Colombian Comfort,Arabica,Smooth and nutty with a caramel finish,instagram,62.71,137.49
13/4/2024,French Vanilla Fantasy,Arabica,Light and crisp with a citrus twist,web-site,72.84,51.55
9/5/2024,Costa Rican Classic,Robusta,Light and crisp with a citrus twist,instagram,57.88,164.82
19/11/2024,Dark Roast Delight,Liberica,Dark roast with a smoky undertone,web-site,38.91,86.66
5/10/2024,Mocha Madness,Liberica,Smooth and nutty with a caramel finish,whatsapp,134.83,167.72
9/12/2024,Espresso Elegance,Robusta,Light and crisp with a citrus twist,web-site,57.73,127.49
22/8/2024,Caramel Creme Dream,Liberica,Light and crisp with a citrus twist,web-site,45.75,85.35
16/1/2024,Peruvian Perfection,Robusta,Smooth and nutty with a caramel finish,in-store,39.61,120.85
27/10/2024,Mocha Madness,Catimor,Rich and bold with hints of chocolate,web-site,98.47,122.5
14/4/2024,Morning Blend Magic,Excelsa,Smooth and nutty with a caramel finish,instagram,81.58,106.68
5/12/2024,French Vanilla Fantasy,Liberica,Light and crisp with a citrus twist,instagram,58.81,32.44
23/5/2024,Costa Rican Classic,Excelsa,Light and crisp with a citrus twist,web-site,38.1,196.11
1/6/2024,Caramel Creme Dream,Excelsa,Rich and bold with hints of chocolate,in-store,94.37,48.23
23/3/2024,Costa Rican Classic,Robusta,Smooth and nutty with a caramel finish,in-store,24.45,191.8
1/10/2024,Dark Roast Delight,Robusta,Rich and bold with hints of chocolate,web-site,56.87,46.13
30/11/2024,Mocha Madness,Excelsa,Bright and fruity with floral notes,web-site,48.18,193.27
3/2/2024,Costa Rican Classic,Liberica,Smooth and nutty with a caramel finish,web-site,92.69,30.55
21/1/2024,Mocha Madness,Robusta,Bright and fruity with floral notes,web-site,125.7,75.7
18/10/2024,Peruvian Perfection,Liberica,Dark roast with a smoky undertone,in-store,59.24,113.01
11/3/2024,Espresso Elegance,Catimor,Light and crisp with a citrus twist,instagram,110.1,37.74
13/7/2024,Mocha Madness,Robusta,Dark roast with a smoky undertone,web-site,30.86,134.26
5/8/2024,Sumatra Sunrise,Excelsa,Light and crisp with a citrus twist,instagram,20.09,135.01
5/2/2024,Ethiopian Excellence,Robusta,Smooth and nutty with a caramel finish,web-site,119.94,50.05
8/5/2024,Morning Blend Magic,Excelsa,Bright and fruity with floral notes,whatsapp,36.9,94.87
24/6/2024,Espresso Elegance,Liberica,Smooth and nutty with a caramel finish,whatsapp,111.81,134.07
6/8/2024,Peruvian Perfection,Excelsa,Rich and bold with hints of chocolate,whatsapp,112.24,198.84
1/5/2024,Colombian Comfort,Catimor,Bright and fruity with floral notes,in-store,79.97,166.51
18/12/2024,Guatemalan Gold,Catimor,Smooth and nutty with a caramel finish,web-site,111.35,126.4
27/8/2024,Ethiopian Excellence,Excelsa,Smooth and nutty with a caramel finish,instagram,107.86,123.47
28/10/2024,Sumatra Sunrise,Liberica,Bright and fruity with floral notes,whatsapp,66.82,124.33
14/9/2024,Costa Rican Classic,Robusta,Light and crisp with a citrus twist,web-site,70.42,30.53
12/11/2024,French Vanilla Fantasy,Excelsa,Smooth and nutty with a caramel finish,whatsapp,102.73,169.19
10/4/2024,Hazelnut Heaven,Robusta,Dark roast with a smoky undertone,instagram,20.65,79.64
23/8/2024,Brazilian Beauty,Excelsa,Rich and bold with hints of chocolate,whatsapp,99.91,55.48
23/1/2024,Dark Roast Delight,Arabica,Bright and fruity with floral notes,web-site,58.67,192.7
22/3/2024,Hazelnut Heaven,Arabica,Dark roast with a smoky undertone,instagram,132.37,43.11
18/11/2024,Sumatra Sunrise,Catimor,Dark roast with a smoky undertone,whatsapp,96.26,166.81
7/6/2024,Jamaican Java Joy,Liberica,Bright and fruity with floral notes,instagram,46.7,135.66
24/2/2024,Guatemalan Gold,Liberica,Smooth and nutty with a caramel finish,instagram,71.61,118.69
6/2/2024,Costa Rican Classic,Liberica,Dark roast with a smoky undertone,web-site,100.2,71.69
17/3/2024,Mocha Madness,Robusta,Light and crisp with a citrus twist,instagram,134.56,167.86
1/5/2024,Sumatra Sunrise,Arabica,Bright and fruity with floral notes,instagram,115.88,92.91
10/5/2024,Costa Rican Classic,Arabica,Light and crisp with a citrus twist,in-store,49.51,136.36
23/6/2024,Costa Rican Classic,Catimor,Rich and bold with hints of chocolate,in-store,92.27,54.82
29/6/2024,Ethiopian Excellence,Robusta,Smooth and nutty with a caramel finish,whatsapp,29.62,72.39
18/1/2024,Dark Roast Delight,Excelsa,Light and crisp with a citrus twist,in-store,48.1,59.02
13/9/2024,Colombian Comfort,Liberica,Rich and bold with hints of chocolate,whatsapp,54.97,155.78
6/1/2024,Espresso Elegance,Robusta,Bright and fruity with floral notes,whatsapp,88.1,134.26
24/12/2024,Jamaican Java Joy,Catimor,Dark roast with a smoky undertone,in-store,54.68,29.18
21/8/2024,Caramel Creme Dream,Excelsa,Smooth and nutty with a caramel finish,in-store,111.0,34.17
15/7/2024,Guatemalan Gold,Arabica,Bright and fruity with floral notes,instagram,139.03,56.4
15/9/2024,Caramel Creme Dream,Liberica,Rich and bold with hints of chocolate,instagram,79.41,45.82
23/1/2024,Brazilian Beauty,Excelsa,Rich and bold with hints of chocolate,web-site,98.45,127.86
26/11/2024,Peruvian Perfection,Excelsa,Rich and bold with hints of chocolate,web-site,135.24,53.5
23/5/2024,Guatemalan Gold,Liberica,Dark roast with a smoky undertone,in-store,28.51,207.32
20/6/2024,Caramel Creme Dream,Robusta,Bright and fruity with floral notes,web-site,29.2,208.67
6/8/2024,Sumatra Sunrise,Liberica,Bright and fruity with floral notes,instagram,26.74,110.49
15/1/2024,Hazelnut Heaven,Catimor,Rich and bold with hints of chocolate,instagram,134.2,60.06
21/3/2024,Ethiopian Excellence,Liberica,Dark roast with a smoky undertone,web-site,86.01,185.63
15/3/2024,Caramel Creme Dream,Catimor,Rich and bold with hints of chocolate,whatsapp,132.77,140.54
15/3/2024,Sumatra Sunrise,Catimor,Dark roast with a smoky undertone,web-site,59.15,191.71
7/7/2024,Brazilian Beauty,Arabica,Light and crisp with a citrus twist,instagram,112.62,130.41
29/9/2024,Sumatra Sunrise,Excelsa,Smooth and nutty with a caramel finish,instagram,80.43,170.92
30/12/2024,Costa Rican Classic,Liberica,Smooth and nutty with a caramel finish,whatsapp,100.0,40.76
16/2/2024,Jamaican Java Joy,Catimor,Light and crisp with a citrus twist,web-site,149.45,108.76
17/4/2024,Colombian Comfort,Catimor,Bright and fruity with floral notes,web-site,97.22,200.98
27/6/2024,Costa Rican Classic,Excelsa,Smooth and nutty with a caramel finish,instagram,109.88,165.89
22/9/2024,Brazilian Beauty,Excelsa,Dark roast with a smoky undertone,web-site,112.72,212.02
4/4/2024,Guatemalan Gold,Arabica,Smooth and nutty with a caramel finish,web-site,21.36,144.45
19/12/2024,Jamaican Java Joy,Excelsa,Rich and bold with hints of chocolate,web-site,87.58,69.95
16/12/2024,Jamaican Java Joy,Catimor,Smooth and nutty with a caramel finish,instagram,120.61,59.26
18/4/2024,Mocha Madness,Catimor,Dark roast with a smoky undertone,whatsapp,132.74,81.96
15/12/2024,Mocha Madness,Robusta,Bright and fruity with floral notes,instagram,61.93,90.01
23/5/2024,Brazilian Beauty,Robusta,Smooth and nutty with a caramel finish,in-store,47.55,158.05
3/5/2024,Hazelnut Heaven,Robusta,Dark roast with a smoky undertone,in-store,54.88,210.2
6/8/2024,Ethiopian Excellence,Catimor,Light and crisp with a citrus twist,web-site,38.71,115.67
28/8/2024,Morning Blend Magic,Robusta,Bright and fruity with floral notes,web-site,79.21,203.09
11/11/2024,Dark Roast Delight,Liberica,Rich and bold with hints of chocolate,instagram,96.07,47.63
20/2/2024,Caramel Creme Dream,Liberica,Dark roast with a smoky undertone,instagram,143.95,192.47
1/7/2024,Sumatra Sunrise,Arabica,Light and crisp with a citrus twist,instagram,125.68,73.44
27/4/2024,Brazilian Beauty,Robusta,Rich and bold with hints of chocolate,instagram,104.85,201.6
30/6/2024,Colombian Comfort,Catimor,Bright and fruity with floral notes,whatsapp,146.53,92.37
26/7/2024,Sumatra Sunrise,Liberica,Dark roast with a smoky undertone,instagram,97.54,212.1
9/12/2024,Peruvian Perfection,Catimor,Smooth and nutty with a caramel finish,instagram,66.75,172.22
15/8/2024,Ethiopian Excellence,Excelsa,Dark roast with a smoky undertone,in-store,146.55,47.9
15/11/2024,Ethiopian Excellence,Arabica,Light and crisp with a citrus twist,in-store,31.96,138.88
13/6/2024,Espresso Elegance,Catimor,Smooth and nutty with a caramel finish,whatsapp,90.61,49.7
4/3/2024,Peruvian Perfection,Arabica,Bright and fruity with floral notes,whatsapp,104.05,151.39
21/10/2024,Guatemalan Gold,Catimor,Smooth and nutty with a caramel finish,web-site,61.56,197.31
23/10/2024,Colombian Comfort,Liberica,Bright and fruity with floral notes,whatsapp,56.33,32.56
12/7/2024,Sumatra Sunrise,Catimor,Light and crisp with a citrus twist,whatsapp,121.72,200.33
1/9/2024,Mocha Madness,Arabica,Bright and fruity with floral notes,web-site,38.93,188.21
11/9/2024,Colombian Comfort,Robusta,Light and crisp with a citrus twist,instagram,129.55,111.54
25/5/2024,Espresso Elegance,Liberica,Smooth and nutty with a caramel finish,in-store,28.93,86.62
31/1/2024,Guatemalan Gold,Catimor,Smooth and nutty with a caramel finish,web-site,50.1,194.59
19/6/2024,Dark Roast Delight,Liberica,Rich and bold with hints of chocolate,in-store,138.95,68.54
7/12/2024,Mocha Madness,Liberica,Bright and fruity with floral notes,instagram,111.83,140.73
18/9/2024,Costa Rican Classic,Catimor,Smooth and nutty with a caramel finish,in-store,125.45,53.41
7/6/2024,French Vanilla Fantasy,Arabica,Dark roast with a smoky undertone,in-store,57.47,74.14
2/2/2024,Dark Roast Delight,Robusta,Rich and bold with hints of chocolate,instagram,101.28,107.66
28/11/2024,Guatemalan Gold,Robusta,Dark roast with a smoky undertone,instagram,64.77,188.59
1/8/2024,Colombian Comfort,Catimor,Light and crisp with a citrus twist,instagram,40.63,154.03
11/2/2024,Jamaican Java Joy,Liberica,Smooth and nutty with a caramel finish,instagram,85.68,148.43
2/6/2024,Ethiopian Excellence,Arabica,Smooth and nutty with a caramel finish,in-store,32.09,43.8
18/1/2024,Dark Roast Delight,Robusta,Light and crisp with a citrus twist,whatsapp,63.1,80.39
1/4/2024,Espresso Elegance,Robusta,Smooth and nutty with a caramel finish,whatsapp,149.48,184.13
21/9/2024,Mocha Madness,Liberica,Dark roast with a smoky undertone,web-site,49.28,93.41
10/9/2024,Brazilian Beauty,Catimor,Smooth and nutty with a caramel finish,instagram,31.04,207.95
10/3/2024,Dark Roast Delight,Liberica,Rich and bold with hints of chocolate,in-store,94.7,167.7
9/12/2024,Dark Roast Delight,Robusta,Rich and bold with hints of chocolate,in-store,32.28,84.93
27/3/2024,Peruvian Perfection,Excelsa,Dark roast with a smoky undertone,whatsapp,134.61,71.64
27/2/2024,Costa Rican Classic,Arabica,Dark roast with a smoky undertone,web-site,69.85,205.56
11/9/2024,Peruvian Perfection,Arabica,Dark roast with a smoky undertone,whatsapp,23.34,49.42
13/11/2024,Costa Rican Classic,Arabica,Light and crisp with a citrus twist,instagram,56.59,91.35
9/9/2024,Costa Rican Classic,Robusta,Light and crisp with a citrus twist,web-site,52.49,85.95
22/8/2024,Jamaican Java Joy,Arabica,Dark roast with a smoky undertone,whatsapp,104.83,93.95
1/4/2024,Peruvian Perfection,Catimor,Rich and bold with hints of chocolate,whatsapp,40.58,78.68
15/4/2024,Costa Rican Classic,Arabica,Dark roast with a smoky undertone,whatsapp,55.27,130.65
17/8/2024,Guatemalan Gold,Liberica,Bright and fruity with floral notes,whatsapp,37.99,146.87
5/6/2024,Sumatra Sunrise,Excelsa,Light and crisp with a citrus twist,whatsapp,77.21,43.32
22/9/2024,Guatemalan Gold,Excelsa,Light and crisp with a citrus twist,instagram,118.79,38.18
22/11/2024,Brazilian Beauty,Catimor,Smooth and nutty with a caramel finish,whatsapp,25.8,117.38
19/12/2024,Costa Rican Classic,Liberica,Dark roast with a smoky undertone,whatsapp,73.46,31.79
11/2/2024,Jamaican Java Joy,Excelsa,Bright and fruity with floral notes,in-store,140.45,116.66
23/3/2024,Guatemalan Gold,Catimor,Bright and fruity with floral notes,in-store,80.6,70.24
19/9/2024,Morning Blend Magic,Arabica,Light and crisp with a citrus twist,web-site,97.81,81.7
6/4/2024,Brazilian Beauty,Liberica,Smooth and nutty with a caramel finish,whatsapp,123.14,111.06
4/9/2024,Morning Blend Magic,Catimor,Light and crisp with a citrus twist,whatsapp,146.93,170.68
26/5/2024,Hazelnut Heaven,Catimor,Bright and fruity with floral notes,instagram,82.11,196.72
5/1/2024,Hazelnut Heaven,Excelsa,Dark roast with a smoky undertone,in-store,22.68,87.38
9/4/2024,Colombian Comfort,Catimor,Rich and bold with hints of chocolate,instagram,45.87,178.1
20/4/2024,French Vanilla Fantasy,Robusta,Dark roast with a smoky undertone,in-store,73.35,59.97
20/10/2024,Jamaican Java Joy,Liberica,Dark roast with a smoky undertone,web-site,50.25,92.44
15/2/2024,Caramel Creme Dream,Liberica,Smooth and nutty with a caramel finish,instagram,28.1,173.31
15/7/2024,Jamaican Java Joy,Catimor,Rich and bold with hints of chocolate,whatsapp,33.58,49.52
4/1/2024,Colombian Comfort,Excelsa,Rich and bold with hints of chocolate,instagram,114.41,203.46
10/1/2024,Hazelnut Heaven,Arabica,Rich and bold with hints of chocolate,instagram,94.85,101.19
29/8/2024,Morning Blend Magic,Excelsa,Dark roast with a smoky undertone,web-site,36.83,150.93
9/4/2024,Sumatra Sunrise,Catimor,Bright and fruity with floral notes,in-store,74.83,165.6
23/4/2024,Brazilian Beauty,Excelsa,Bright and fruity with floral notes,in-store,34.68,31.04
22/8/2024,Ethiopian Excellence,Liberica,Smooth and nutty with a caramel finish,in-store,115.82,171.4
31/3/2024,Colombian Comfort,Arabica,Light and crisp with a citrus twist,whatsapp,20.29,207.94
6/4/2024,Hazelnut Heaven,Catimor,Smooth and nutty with a caramel finish,instagram,55.89,154.21
12/2/2024,Caramel Creme Dream,Arabica,Rich and bold with hints of chocolate,in-store,84.26,148.8
20/10/2024,Jamaican Java Joy,Excelsa,Bright and fruity with floral notes,in-store,34.73,58.85
25/12/2024,Brazilian Beauty,Excelsa,Rich and bold with hints of chocolate,instagram,105.02,164.19
4/6/2024,Jamaican Java Joy,Robusta,Light and crisp with a citrus twist,instagram,35.36,136.33
21/10/2024,Guatemalan Gold,Robusta,Smooth and nutty with a caramel finish,whatsapp,36.8,92.35
9/10/2024,Ethiopian Excellence,Arabica,Bright and fruity with floral notes,instagram,95.7,201.17
13/11/2024,French Vanilla Fantasy,Catimor,Bright and fruity with floral notes,web-site,29.6,177.09
5/7/2024,Costa Rican Classic,Liberica,Light and crisp with a citrus twist,instagram,44.37,172.88
19/3/2024,Costa Rican Classic,Robusta,Smooth and nutty with a caramel finish,instagram,137.61,107.72
2/4/2024,Guatemalan Gold,Robusta,Bright and fruity with floral notes,instagram,103.12,194.17
7/11/2024,Colombian Comfort,Arabica,Rich and bold with hints of chocolate,whatsapp,128.53,138.09
9/9/2024,Morning Blend Magic,Robusta,Dark roast with a smoky undertone,web-site,123.15,35.11
10/2/2024,Mocha Madness,Catimor,Light and crisp with a citrus twist,whatsapp,74.02,69.77
27/2/2024,Mocha Madness,Arabica,Dark roast with a smoky undertone,web-site,34.2,38.91
9/11/2024,Guatemalan Gold,Catimor,Light and crisp with a citrus twist,instagram,130.58,120.78
5/5/2024,Ethiopian Excellence,Liberica,Dark roast with a smoky undertone,instagram,95.06,209.56
29/5/2024,Peruvian Perfection,Excelsa,Bright and fruity with floral notes,in-store,60.96,75.23
22/8/2024,Jamaican Java Joy,Robusta,Light and crisp with a citrus twist,whatsapp,64.77,128.5
3/4/2024,French Vanilla Fantasy,Robusta,Bright and fruity with floral notes,whatsapp,132.12,72.02
5/3/2024,Costa Rican Classic,Robusta,Smooth and nutty with a caramel finish,instagram,75.27,67.81
19/12/2024,Morning Blend Magic,Liberica,Light and crisp with a citrus twist,in-store,75.41,72.34
29/3/2024,Ethiopian Excellence,Excelsa,Dark roast with a smoky undertone,in-store,100.17,104.28
26/5/2024,Hazelnut Heaven,Liberica,Rich and bold with hints of chocolate,whatsapp,118.66,206.38
7/10/2024,Mocha Madness,Excelsa,Dark roast with a smoky undertone,in-store,63.14,69.19
4/9/2024,Costa Rican Classic,Liberica,Smooth and nutty with a caramel finish,instagram,38.04,166.3
26/12/2024,French Vanilla Fantasy,Robusta,Bright and fruity with floral notes,whatsapp,57.82,194.73
17/3/2024,Mocha Madness,Excelsa,Bright and fruity with floral notes,instagram,146.73,42.99
1/5/2024,Costa Rican Classic,Arabica,Dark roast with a smoky undertone,web-site,115.16,52.27
3/5/2024,Espresso Elegance,Arabica,Rich and bold with hints of chocolate,instagram,30.35,122.26
21/3/2024,Peruvian Perfection,Catimor,Rich and bold with hints of chocolate,whatsapp,79.14,212.56
1/8/2024,Jamaican Java Joy,Arabica,Smooth and nutty with a caramel finish,whatsapp,66.34,172.96
6/3/2024,Mocha Madness,Liberica,Bright and fruity with floral notes,in-store,137.09,35.92
28/7/2024,Caramel Creme Dream,Arabica,Light and crisp with a citrus twist,in-store,97.96,159.1
13/7/2024,Espresso Elegance,Robusta,Smooth and nutty with a caramel finish,instagram,47.84,189.28
14/9/2024,Dark Roast Delight,Arabica,Rich and bold with hints of chocolate,in-store,73.37,45.76
23/9/2024,Colombian Comfort,Liberica,Light and crisp with a citrus twist,web-site,90.41,113.22
1/11/2024,Mocha Madness,Robusta,Smooth and nutty with a caramel finish,whatsapp,93.58,115.79
4/5/2024,Mocha Madness,Excelsa,Dark roast with a smoky undertone,whatsapp,67.97,145.53
26/8/2024,Brazilian Beauty,Excelsa,Rich and bold with hints of chocolate,web-site,69.78,178.5
4/9/2024,Costa Rican Classic,Excelsa,Light and crisp with a citrus twist,web-site,95.17,143.72
1/11/2024,Ethiopian Excellence,Excelsa,Rich and bold with hints of chocolate,instagram,27.09,29.66
30/3/2024,Ethiopian Excellence,Arabica,Bright and fruity with floral notes,in-store,45.18,184.58
18/3/2024,Ethiopian Excellence,Liberica,Dark roast with a smoky undertone,in-store,87.85,75.77
30/12/2024,French Vanilla Fantasy,Robusta,Bright and fruity with floral notes,web-site,134.2,28.22
3/4/2024,Mocha Madness,Robusta,Smooth and nutty with a caramel finish,whatsapp,113.35,83.38
19/2/2024,Colombian Comfort,Liberica,Light and crisp with a citrus twist,web-site,47.41,206.35
11/4/2024,Guatemalan Gold,Robusta,Smooth and nutty with a caramel finish,in-store,116.24,150.8
26/12/2024,Espresso Elegance,Robusta,Dark roast with a smoky undertone,instagram,30.16,164.35
6/8/2024,Hazelnut Heaven,Arabica,Smooth and nutty with a caramel finish,web-site,72.91,130.97
25/9/2024,Ethiopian Excellence,Liberica,Dark roast with a smoky undertone,instagram,120.05,68.16
13/1/2024,Dark Roast Delight,Liberica,Bright and fruity with floral notes,instagram,72.48,100.14
5/12/2024,Costa Rican Classic,Excelsa,Bright and fruity with floral notes,in-store,69.48,101.72
26/11/2024,Dark Roast Delight,Arabica,Dark roast with a smoky undertone,whatsapp,29.67,151.06
31/8/2024,Jamaican Java Joy,Catimor,Bright and fruity with floral notes,whatsapp,82.79,136.62
18/6/2024,Mocha Madness,Arabica,Light and crisp with a citrus twist,instagram,143.72,60.25
23/1/2024,Costa Rican Classic,Robusta,Dark roast with a smoky undertone,whatsapp,32.48,128.25
23/4/2024,Costa Rican Classic,Robusta,Light and crisp with a citrus twist,instagram,140.06,200.72
26/6/2024,Morning Blend Magic,Arabica,Light and crisp with a citrus twist,whatsapp,32.96,148.76
18/11/2024,Hazelnut Heaven,Catimor,Bright and fruity with floral notes,in-store,40.81,199.62
14/6/2024,Dark Roast Delight,Catimor,Smooth and nutty with a caramel finish,instagram,107.16,78.07
8/3/2024,Peruvian Perfection,Excelsa,Smooth and nutty with a caramel finish,web-site,95.6,90.36
13/3/2024,French Vanilla Fantasy,Excelsa,Bright and fruity with floral notes,whatsapp,51.33,114.83
18/6/2024,Mocha Madness,Robusta,Bright and fruity with floral notes,instagram,136.91,162.59
20/11/2024,Jamaican Java Joy,Excelsa,Rich and bold with hints of chocolate,instagram,62.94,98.5
12/6/2024,Morning Blend Magic,Excelsa,Rich and bold with hints of chocolate,instagram,119.85,174.65
7/2/2024,Jamaican Java Joy,Liberica,Bright and fruity with floral notes,instagram,37.94,58.24
3/9/2024,Guatemalan Gold,Arabica,Light and crisp with a citrus twist,web-site,92.75,76.83
9/9/2024,Costa Rican Classic,Excelsa,Light and crisp with a citrus twist,web-site,124.01,170.02
17/11/2024,Jamaican Java Joy,Arabica,Light and crisp with a citrus twist,instagram,76.17,151.68
24/8/2024,French Vanilla Fantasy,Liberica,Bright and fruity with floral notes,in-store,94.21,169.74
28/6/2024,Peruvian Perfection,Excelsa,Rich and bold with hints of chocolate,instagram,113.11,207.74
20/12/2024,Brazilian Beauty,Liberica,Light and crisp with a citrus twist,whatsapp,48.83,116.6
27/3/2024,Hazelnut Heaven,Catimor,Light and crisp with a citrus twist,whatsapp,123.81,128.13
29/6/2024,French Vanilla Fantasy,Excelsa,Light and crisp with a citrus twist,in-store,109.47,206.53
1/1/2024,Jamaican Java Joy,Excelsa,Rich and bold with hints of chocolate,instagram,43.01,87.15
21/2/2024,Jamaican Java Joy,Robusta,Bright and fruity with floral notes,web-site,119.68,161.5
11/3/2024,French Vanilla Fantasy,Liberica,Light and crisp with a citrus twist,in-store,127.5,111.54
5/2/2024,Caramel Creme Dream,Excelsa,Bright and fruity with floral notes,whatsapp,69.16,110.06
22/7/2024,Caramel Creme Dream,Arabica,Rich and bold with hints of chocolate,web-site,101.34,78.48
16/8/2024,Colombian Comfort,Arabica,Smooth and nutty with a caramel finish,instagram,28.73,103.78
28/5/2024,Colombian Comfort,Liberica,Dark roast with a smoky undertone,in-store,56.59,205.92
11/8/2024,Costa Rican Classic,Robusta,Smooth and nutty with a caramel finish,in-store,59.27,87.07
18/6/2024,Guatemalan Gold,Excelsa,Rich and bold with hints of chocolate,instagram,64.91,68.08
4/2/2024,Brazilian Beauty,Liberica,Light and crisp with a citrus twist,whatsapp,106.32,100.75
11/2/2024,Guatemalan Gold,Robusta,Smooth and nutty with a caramel finish,whatsapp,54.12,151.9
18/6/2024,Jamaican Java Joy,Excelsa,Dark roast with a smoky undertone,instagram,103.47,119.43
28/5/2024,Morning Blend Magic,Excelsa,Bright and fruity with floral notes,instagram,36.56,80.48
10/11/2024,Guatemalan Gold,Catimor,Light and crisp with a citrus twist,in-store,75.35,107.58
18/3/2024,Caramel Creme Dream,Catimor,Smooth and nutty with a caramel finish,instagram,121.25,36.92
28/8/2024,Brazilian Beauty,Catimor,Light and crisp with a citrus twist,web-site,133.38,157.74
5/12/2024,Caramel Creme Dream,Robusta,Bright and fruity with floral notes,in-store,136.1,138.01
14/9/2024,Hazelnut Heaven,Robusta,Bright and fruity with floral notes,instagram,87.83,149.99
19/12/2024,Costa Rican Classic,Liberica,Dark roast with a smoky undertone,web-site,87.62,128.05
12/11/2024,Sumatra Sunrise,Robusta,Smooth and nutty with a caramel finish,instagram,102.64,63.62
27/10/2024,Brazilian Beauty,Catimor,Light and crisp with a citrus twist,in-store,126.28,57.58
15/10/2024,Caramel Creme Dream,Arabica,Light and crisp with a citrus twist,web-site,116.27,166.05
27/6/2024,Sumatra Sunrise,Excelsa,Rich and bold with hints of chocolate,whatsapp,145.7,101.63
8/10/2024,Caramel Creme Dream,Arabica,Rich and bold with hints of chocolate,instagram,36.02,212.28
24/2/2024,Brazilian Beauty,Catimor,Smooth and nutty with a caramel finish,whatsapp,115.85,45.53
14/8/2024,Guatemalan Gold,Liberica,Light and crisp with a citrus twist,web-site,31.66,69.33
19/10/2024,French Vanilla Fantasy,Catimor,Dark roast with a smoky undertone,in-store,62.48,140.22
29/4/2024,Jamaican Java Joy,Catimor,Light and crisp with a citrus twist,in-store,50.78,209.75
17/3/2024,Ethiopian Excellence,Liberica,Bright and fruity with floral notes,in-store,108.1,149.07
12/7/2024,Sumatra Sunrise,Excelsa,Rich and bold with hints of chocolate,whatsapp,91.59,180.78
25/4/2024,Morning Blend Magic,Catimor,Dark roast with a smoky undertone,whatsapp,76.43,89.59
9/2/2024,Brazilian Beauty,Arabica,Light and crisp with a citrus twist,instagram,107.6,35.23
24/11/2024,Mocha Madness,Catimor,Rich and bold with hints of chocolate,in-store,114.08,158.45
30/7/2024,Ethiopian Excellence,Catimor,Smooth and nutty with a caramel finish,web-site,48.54,134.11
14/11/2024,French Vanilla Fantasy,Catimor,Smooth and nutty with a caramel finish,in-store,103.39,65.42
18/1/2024,Costa Rican Classic,Arabica,Dark roast with a smoky undertone,web-site,45.62,81.93
5/8/2024,French Vanilla Fantasy,Robusta,Bright and fruity with floral notes,in-store,51.64,52.8
9/6/2024,Hazelnut Heaven,Arabica,Light and crisp with a citrus twist,web-site,90.17,39.3
11/4/2024,Espresso Elegance,Robusta,Dark roast with a smoky undertone,instagram,30.8,109.49
15/11/2024,Espresso Elegance,Catimor,Bright and fruity with floral notes,instagram,61.15,202.63
5/3/2024,Morning Blend Magic,Excelsa,Dark roast with a smoky undertone,in-store,140.32,202.08
8/3/2024,French Vanilla Fantasy,Liberica,Smooth and nutty with a caramel finish,web-site,143.43,165.28
27/12/2024,Sumatra Sunrise,Liberica,Smooth and nutty with a caramel finish,in-store,113.82,193.78
10/7/2024,Jamaican Java Joy,Catimor,Light and crisp with a citrus twist,in-store,53.86,52.41
23/3/2024,Morning Blend Magic,Catimor,Dark roast with a smoky undertone,web-site,52.51,148.82
15/12/2024,Peruvian Perfection,Robusta,Rich and bold with hints of chocolate,web-site,39.54,147.71
24/8/2024,Hazelnut Heaven,Robusta,Smooth and nutty with a caramel finish,web-site,111.84,78.49
6/8/2024,Ethiopian Excellence,Robusta,Smooth and nutty with a caramel finish,instagram,97.43,135.73
